174. Brandon Woodruff (SP, MIL)
175. Tanner Bibee (SP, CLE)
176. Adley Rutschman (C, BAL)
177. Brandon Nimmo (LF, TEX)
178. Aaron Nola (SP, PHI)
179. Bryce Miller (SP, SEA)
180. Roki Sasaki (SP, LAD)
181. Kerry Carpenter (RF, DET)
182. Ian Happ (LF, CHC)
183. Daylen Lile (RF, WSH)
184. Wilyer Abreu (RF, BOS)
185. Ryan Helsley (RP, BAL)
186. Colson Montgomery (SS, CWS)
187. Matt Shaw (3B, CHC)
188. Chandler Simpson (CF, TB)
189. Willson Contreras (1B, STL)
190. Dansby Swanson (SS, CHC)
191. Brenton Doyle (CF, COL)
192. Kyle Manzardo (1B, CLE)
193. Pablo Lopez (SP, MIN)
194. Trevor Story (SS, BOS)
195. Ezequiel Tovar (SS, COL)
196. Aidan Miller (SS, PHI)
197. Carson Benge (OF, NYM)
198. Sal Frelick (RF, MIL)
199. Xavier Edwards (SS, MIA)
200. Cade Horton (SP, CHC)
201. Travis Bazzana (2B, CLE)
202. Daulton Varsho (CF, TOR)
203. Grayson Rodriguez (SP, LAA)
204. Thomas White (SP, MIA)
205. Payton Tolle (SP, BOS)
206. Max Clark (OF, DET)
207. Yainer Diaz (C, HOU)
208. Mickey Moniak (RF, COL)
209. Pete Fairbanks (RP, MIA)
210. Jackson Jobe (SP, DET)
211. George Lombard (SS, NYY)
212. Jared Jones (SP, PIT)
213. Aroldis Chapman (RP, BOS)
214. Alec Burleson (1B, STL)
215. Shane Bieber (SP, TOR)
216. Bryan Reynolds (RF, PIT)
217. Gerrit Cole (SP, NYY)
218. Andrew Abbott (SP, CIN)
219. Xander Bogaerts (SS, SD)
220. Emilio Pagan (RP, CIN)
221. Trevor Rogers (SP, BAL)
222. Jack Flaherty (SP, DET)
223. Bryson Stott (2B, PHI)
224. Jasson Dominguez (LF, NYY)
225. Matt McLain (2B, CIN)
226. Masyn Winn (SS, STL)
227. Brandon Lowe (2B, TB)
228. Colton Cowser (LF, BAL)
229. Zac Gallen (SP, FA)
230. Alejandro Kirk (C, TOR)
231. Munetaka Murakami (1B, CWS)
232. Shane McClanahan (SP, TB)
233. Kristian Campbell (2B, BOS)
234. Josue De Paula (CF, LAD)
235. Otto Lopez (2B, MIA)
236. Jordan Beck (LF, COL)
237. Andrew Painter (SP, PHI)
238. Ramon Laureano (RF, SD)
239. Jonah Tong (SP, NYM)
240. Gleyber Torres (2B, DET)
241. Marcus Semien (2B, NYM)
242. Carlos Estevez (RP, KC)
243. Cam Smith (RF, HOU)
244. Justin Steele (SP, CHC)
245. Matthew Boyd (SP, CHC)
246. Max Meyer (SP, MIA)
247. Casey Mize (SP, DET)
248. Daniel Palencia (RP, CHC)
249. Jack Leiter (SP, TEX)
250. Abner Uribe (RP, MIL)
251. Marcelo Mayer (3B, BOS)
252. Dennis Santana (RP, PIT)
253. Giancarlo Stanton (DH, NYY)
254. Adolis Garcia (OF, PHI)
255. Mark Vientos (3B, NYM)
256. Brendan Donovan (2B, STL)
257. Kenley Jansen (RP, LAA)
258. Trevor Megill (RP, MIL)
259. Griffin Jax (RP, TB)
260. Christian Walker (1B, HOU)
261. Luis Garcia (2B, WSH)
262. Kazuma Okamoto (3B, TOR)
263. Quinn Priester (SP, MIL)
264. Robby Snelling (SP, MIA)
265. Salvador Perez (C, KC)
266. Shane Smith (SP, CWS)
267. Corbin Burnes (SP, AZ)
268. Jett Williams (SS, NYM)
269. Carter Jensen (C, KC)
270. Kodai Senga (SP, NYM)
271. Lazaro Montes (OF, SEA)
272. Carlos Correa (SS, HOU)
273. Brett Baty (3B, NYM)
274. Hurston Waldrep (SP, ATL)
275. Gabriel Moreno (C, AZ)
276. Ryan Weathers (SP, MIA)
277. Merrill Kelly (SP, AZ)
278. Noah Cameron (SP, KC)
279. Nolan Schanuel (1B, LAA)
280. Kyle Teel (C, CWS)
281. Alex Freeland (SS, LAD)
282. Jose Caballero (SS, NYY)
283. Luis Arraez (1B, SF)
284. Luis Pena (SS, MIL)
285. Jorge Polanco (2B, SEA)
286. Coby Mayo (1B, BAL)
287. Bryan Abreu (RP, HOU)
288. Jeff Hoffman (RP, TOR)
289. Max Muncy (3B, LAD)
290. Brayan Bello (SP, BOS)
291. AJ Smith-Shawver (SP, ATL)
292. Jose Soriano (SP, LAA)
293. Alec Bohm (3B, PHI)
294. Ryan Walker (RP, SF)
295. Zebby Matthews (SP, MIN)
296. Caleb Durbin (3B, MIL)
297. Francisco Alvarez (C, NYM)
298. Ryne Nelson (SP, AZ)
299. Miguel Vargas (3B, CWS)
300. Josh Lowe (RF, TB)
301. Jake Burger (1B, TEX)
302. Bailey Ober (SP, MIN)
303. Anthony Volpe (SS, NYY)
304. Colt Keith (2B, DET)
305. Justin Crawford (OF, PHI)
306. Mitch Keller (SP, PIT)
307. Jung Hoo Lee (CF, SF)
308. David Peterson (SP, NYM)
309. Will Warren (SP, NYY)
310. Spencer Steer (1B, CIN)
311. Reese Olson (SP, DET)
312. Chris Bassitt (SP, BAL)
313. Andres Gimenez (2B, TOR)
314. Sean Manaea (SP, NYM)
315. Yusei Kikuchi (SP, LAA)
316. Seranthony Dominguez (RP, CWS)
317. Ernie Clement (3B, TOR)
318. Carson Williams (SS, TB)
319. Willi Castro (2B, 3B, OF, COL)
320. Brady Singer (SP, CIN)
321. Jordan Lawlar (SS, AZ)
322. Taj Bradley (SP, MIN)
323. Triston Casas (1B, BOS)
324. Brandon Pfaadt (SP, AZ)
325. Cedric Mullins II (OF, TB)
326. TJ Friedl (OF, CIN)
327. Evan Carter (OF, TEX)
328. Clay Holmes (SP, NYM)
329. Robert Garcia (RP, TEX)
330. Ryan O'Hearn (1B, OF, PIT)
331. Josh Jung (3B, TEX)
332. Jordan Walker (OF, STL)
333. Brandon Marsh (OF, PHI)
334. Brooks Lee (2B, 3B, SS, MIN)
335. Matt Wallner (OF, MIN)
336. Michael Wacha (SP, KC)
